id,customized_loan_no,loan_application_no,branch_id,samity_id,product_id,interest_rate_id,member_id,purpose_id,interest_calculation_method,loan_amount,interest_rate,interest_rate_index,interest_amount,interest_amount_without_roundup,discount_interest_amount,insurance_guarantor_percentage,insurance_amount,total_payable_amount,number_of_installment,installment_amount,repayment_frequency,loan_period_in_month,loan_period_in_day,mode_of_interest,cycle,loan_type,first_repayment_date,is_interest_charged_if_last_repay_date_exceeds,is_authorized,disbursed_by,disburse_date,authorized_by,authorization_date,fully_paid_amount,is_loan_fully_paid,loan_fully_paid_date,current_status,loan_closing_date,loan_closing_info_verified_by,is_migrated,opening_loan_outstanding_amount,extra_installment_amount,original_loan_id,transfer_in_date,transfer_out_date,payment_type,bank_head_id,cheque_no,note,additinal_fee,loan_proposal_form_id,parent_loan_id,loan_form_fee,folio_number,member_age,last_schedule_date,disburse_phase,loan_commencement_date,law_suit,cut_off_date,audit_fee,insert_time,update_time,loan_initiator_id,loan_approver_employee_id,loan_insurance_type,sales_invoice_no,ussd_code
11,APON-030-002-0034-15,1,34,1824,3,3,17,58,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,15,R,1/9/2021,,1,1,12/21/2020,1,12/21/2020,55174,1,11/13/2021,0,11/13/2021,,1,25627,24.09,11,,,CASH,,,,0,,,5,,62,1/1/2022,,,0,,0,8/1/2021 12:06,11/16/2021 16:17,,0,0,,
12,APON-030-002-0035-11,1,34,1824,3,3,18,1,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,11,R,9/12/2020,,1,1,8/29/2020,1,8/29/2020,55174,1,8/14/2021,0,8/14/2021,,1,9457,24.09,12,,,CASH,,,,0,,,5,,37,9/4/2021,,,0,,0,8/1/2021 12:06,8/30/2021 13:06,,0,0,,
13,APON-030-002-0040-21,1,34,1824,3,3,21,1,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,21,R,4/17/2021,,1,1,3/31/2021,1,3/31/2021,55174,1,6/30/2022,0,6/30/2022,,1,39739,24.09,13,,,CASH,,,,0,,,5,,49,4/23/2022,,,0,,0,8/1/2021 12:06,7/15/2022 11:35,,0,0,,
14,APON-030-002-0041-06,1,34,1824,3,3,22,58,D,30000,24,0,3780,0,0,,300,33780,46,750,W,12,30,H,6,R,3/13/2021,,1,1,2/27/2021,1,2/27/2021,33780,1,2/19/2022,0,2/19/2022,,1,22440,14.75,14,,,CASH,,,,0,,,5,,35,3/5/2022,,,0,,0,8/1/2021 12:06,2/20/2022 9:43,,0,0,,
15,APON-030-002-0042-16,1,34,1824,3,3,23,25,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,16,R,9/26/2020,,1,1,9/12/2020,1,9/12/2020,55174,1,9/25/2021,0,9/25/2021,,1,11809,24.09,15,,,CASH,,,,0,,,5,,46,9/18/2021,,,0,,0,8/1/2021 12:06,9/25/2021 16:40,,0,0,,
16,APON-030-002-0045-09,1,34,1824,3,3,25,25,D,60000,24,0,7560,0,0,,600,67560,46,1500,W,12,30,H,9,R,7/25/2020,,1,1,7/11/2020,1,7/11/2020,67560,1,9/18/2021,0,9/18/2021,,1,4380,29.49,16,,,CASH,,,,0,,,5,,32,7/31/2021,,,0,,0,8/1/2021 12:06,9/19/2021 10:22,,0,0,,
17,APON-030-002-0048-02,1,34,1824,3,3,27,25,D,40000,24,0,5040,0,0,,400,45040,46,1000,W,12,30,H,2,R,10/17/2020,,1,1,10/3/2020,1,10/3/2020,45040,1,11/6/2021,0,11/6/2021,,1,13480,19.66,17,,,CASH,,,,0,,,5,,39,10/9/2021,,,0,,0,8/1/2021 12:06,11/13/2021 14:45,,0,0,,
18,APON-030-002-0050-12,1,34,1824,3,3,28,86,D,36000,24,0,4536,0,0,,360,40536,46,900,W,12,30,H,12,R,3/7/2015,,1,1,2/15/2015,1,2/15/2015,,0,,1,,,1,1828,17.7,18,,,CASH,,,,0,,,5,,49,1/16/2016,,,0,,0,8/1/2021 12:06,5/12/2022 10:40,,0,0,,
19,APON-030-002-0054-01,1,34,1824,3,3,31,25,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,1,R,5/29/2021,,1,1,5/11/2021,1,5/11/2021,55174,1,3/5/2022,0,3/5/2022,,1,42826,24.09,19,,,CASH,,,,0,,,5,,28,5/28/2022,,,0,,0,8/1/2021 12:06,6/12/2022 19:27,,0,0,,
20,APON-030-003-0057-03,1,34,1825,3,3,32,25,D,20000,24,0,2520,0,0,,200,22520,46,500,W,12,30,H,3,R,11/1/2020,,1,1,10/18/2020,1,10/18/2020,22520,1,11/28/2021,0,11/28/2021,,1,6260,9.83,20,,,CASH,,,,0,,,5,,43,10/17/2021,,,0,,0,8/1/2021 12:06,11/28/2021 19:40,,0,0,,
21,APON-030-003-0059-17,1,34,1825,3,3,33,86,D,40000,24,0,5040,0,0,,400,45040,46,1000,W,12,30,H,17,R,2/14/2021,,1,1,1/31/2021,1,1/31/2021,45040,1,2/20/2022,0,2/20/2022,,1,25720,19.66,21,,,CASH,,,,0,,,5,,44,2/6/2022,,,0,,0,8/1/2021 12:06,2/22/2022 13:25,,0,0,,
22,APON-030-003-0060-13,1,34,1825,3,3,34,57,D,15000,24,0,1890,0,0,,150,16890,46,375,W,12,30,H,13,R,6/6/2021,,1,1,5/23/2021,1,5/23/2021,16890,1,5/29/2022,0,5/29/2022,,1,13740,7.37,22,,,CASH,,,,0,,,5,,42,6/5/2022,,,0,,0,8/1/2021 12:06,5/29/2022 20:06,,0,0,,
23,APON-030-003-0061-02,1,34,1825,3,3,35,25,D,20000,24,0,2520,0,0,,200,22520,46,500,W,12,30,H,2,R,1/3/2021,,1,1,12/20/2020,1,12/20/2020,22520,1,1/9/2022,0,1/9/2022,,1,10340,9.83,23,,,CASH,,,,0,,,5,,49,12/19/2021,,,0,,0,8/1/2021 12:06,1/10/2022 13:10,,0,0,,
24,APON-030-003-0062-11,1,34,1825,3,3,36,25,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,11,R,5/23/2021,,1,1,5/9/2021,1,5/9/2021,55174,1,4/3/2022,0,4/3/2022,,1,42826,24.09,24,,,CASH,,,,0,,,5,,44,5/22/2022,,,0,,0,8/1/2021 12:06,4/3/2022 18:51,,0,0,,
25,APON-030-003-0066-18,1,34,1825,3,3,38,25,D,10000,24,0,1260,0,0,,100,11260,46,250,W,12,30,H,18,R,1/3/2021,,1,1,12/20/2020,1,12/20/2020,11260,1,1/2/2022,0,1/2/2022,,1,5140,4.92,25,,,CASH,,,,0,,,5,,61,12/19/2021,,,0,,0,8/1/2021 12:06,1/3/2022 16:52,,0,0,,
26,APON-030-003-0069-12,1,34,1825,3,3,39,25,D,20000,24,0,2520,0,0,,200,22520,46,500,W,12,30,H,12,R,7/18/2021,,1,1,6/14/2021,1,6/14/2021,22520,1,6/12/2022,0,6/12/2022,,1,19580,9.83,26,,,CASH,,,,0,,,5,,38,7/3/2022,,,0,,0,8/1/2021 12:06,6/12/2022 19:09,,0,0,,
27,APON-030-003-0071-10,1,34,1825,3,3,40,38,D,30000,24,0,3780,0,0,,300,33780,46,750,W,12,30,H,10,R,4/25/2021,,1,1,4/11/2021,1,4/11/2021,33780,1,4/3/2022,0,4/3/2022,,1,23700,14.75,27,,,CASH,,,,0,,,5,,41,4/3/2022,,,0,,0,8/1/2021 12:06,4/3/2022 18:51,,0,0,,
28,APON-030-003-0075-11,1,34,1825,3,3,43,58,D,20000,24,0,2520,0,0,,200,22520,46,500,W,12,30,H,11,R,7/18/2021,,1,1,6/20/2021,1,6/20/2021,22520,1,7/3/2022,0,7/3/2022,,1,20000,9.83,28,,,CASH,,,,0,,,5,,33,7/3/2022,,,0,,0,8/1/2021 12:06,7/3/2022 17:16,,0,0,,
29,APON-030-003-0080-07,1,34,1825,3,3,45,58,D,20000,24,0,2520,0,0,,200,22520,46,500,W,12,30,H,7,R,6/20/2021,,1,1,5/31/2021,1,5/31/2021,22520,1,6/19/2022,0,6/19/2022,,1,18740,9.83,29,,,CASH,,,,0,,,5,,41,6/19/2022,,,0,,0,8/1/2021 12:06,6/19/2022 18:21,,0,0,,
30,APON-030-004-0086-14,1,34,1826,3,3,47,57,D,20000,24,0,2520,0,0,,200,22520,46,500,W,12,30,H,14,R,7/26/2020,,1,1,7/12/2020,1,7/12/2020,22520,1,9/26/2021,0,9/26/2021,,1,500,9.83,30,,,CASH,,,,0,,,5,,61,7/18/2021,,,0,,0,8/1/2021 12:06,9/27/2021 10:38,,0,0,,
31,APON-030-004-0091-20,1,34,1826,3,3,51,57,D,10000,24,0,1260,0,0,,100,11260,46,250,W,12,30,H,20,R,6/6/2021,,1,1,5/23/2021,1,5/23/2021,11260,1,6/5/2022,0,6/5/2022,,1,9160,4.92,31,,,CASH,,,,0,,,5,,54,6/5/2022,,,0,,0,8/1/2021 12:06,6/5/2022 18:03,,0,0,,
32,APON-030-004-0092-16,1,34,1826,3,3,52,57,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,16,R,1/24/2021,,1,1,1/10/2021,1,1/10/2021,55174,1,1/23/2022,0,1/23/2022,,1,28420,24.09,32,,,CASH,,,,0,,,5,,53,1/16/2022,,,0,,0,8/1/2021 12:06,1/23/2022 19:22,,0,0,,
33,APON-030-004-0096-10,1,34,1826,3,3,54,57,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,10,R,8/9/2020,,1,1,7/19/2020,1,7/19/2020,55174,1,8/22/2021,0,8/22/2021,,1,2401,24.09,33,,,CASH,,,,0,,,5,,44,7/25/2021,,,0,,0,8/1/2021 12:06,9/15/2021 14:13,,0,0,,
34,APON-030-004-0097-11,1,34,1826,3,3,55,1,D,40000,24,0,5040,0,0,,400,45040,46,1000,W,12,30,H,11,R,11/1/2020,,1,1,10/18/2020,1,10/18/2020,45040,1,8/8/2021,0,8/8/2021,,1,12640,19.66,34,,,CASH,,,,0,,,5,,57,10/17/2021,,,0,,0,8/1/2021 12:06,9/15/2021 12:00,,0,0,,
35,APON-030-004-0098-16,1,34,1826,3,3,56,30,D,70000,24,0,8820,0,0,,700,78820,46,1750,W,12,30,H,16,R,1/17/2021,,1,1,1/3/2021,1,1/3/2021,78820,1,1/9/2022,0,1/9/2022,,1,43540,34.41,35,,,CASH,,,,0,,,5,,49,1/9/2022,,,0,,0,8/1/2021 12:06,1/10/2022 13:10,,0,0,,
36,APON-030-004-0100-12,1,34,1826,3,3,57,86,D,90000,24,0,11340,0,0,,900,101340,46,2250,W,12,30,H,12,R,6/6/2021,,1,1,5/23/2021,1,5/23/2021,101340,1,3/6/2022,0,3/6/2022,,1,82440,44.24,36,,,CASH,,,,0,,,5,,33,6/5/2022,,,0,,0,8/1/2021 12:06,3/7/2022 19:20,,0,0,,
37,APON-030-004-0104-08,1,34,1826,3,3,58,57,D,25000,24,0,3150,0,0,,250,28150,46,625,W,12,30,H,8,R,6/27/2021,,1,1,6/13/2021,1,6/13/2021,28150,1,6/26/2022,0,6/26/2022,,1,24475,12.29,37,,,CASH,,,,0,,,5,,61,6/26/2022,,,0,,0,8/1/2021 12:06,6/26/2022 18:05,,0,0,,
38,APON-030-004-0106-09,1,34,1826,3,3,60,57,D,10000,24,0,1260,0,0,,100,11260,46,250,W,12,30,H,9,R,2/14/2021,,1,1,1/31/2021,1,1/31/2021,11260,1,2/6/2022,0,2/6/2022,,1,6430,4.92,38,,,CASH,,,,0,,,5,,43,2/6/2022,,,0,,0,8/1/2021 12:06,2/7/2022 10:50,,0,0,,
39,APON-030-004-0108-09,1,34,1826,3,3,62,25,D,70000,24,0,8820,0,0,,700,78820,46,1750,W,12,30,H,9,R,2/2/2020,,1,1,1/14/2020,1,1/14/2020,,0,,1,,,1,43540,34.41,39,,,CASH,,,,0,,,5,,43,3/14/2021,,,0,,0,8/1/2021 12:06,9/15/2021 14:13,,0,0,,
40,APON-030-005-0109-17,1,34,1827,3,3,63,25,D,40000,24,0,5040,0,0,,400,45040,46,1000,W,12,30,H,17,R,3/1/2021,,1,1,2/9/2021,1,2/9/2021,45040,1,3/7/2022,0,3/7/2022,,1,26560,19.66,40,,,CASH,,,,0,,,5,,39,2/28/2022,,,0,,0,8/1/2021 12:06,3/7/2022 21:42,,0,0,,
41,APON-030-005-0110-20,1,34,1827,3,3,64,25,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,20,R,3/22/2021,,1,1,3/3/2021,1,3/3/2021,,0,,1,,,1,35623,24.09,41,,,CASH,,,,0,,,5,,46,3/21/2022,,,0,,0,8/1/2021 12:06,9/15/2021 14:13,,0,0,,
42,APON-030-005-0111-16,1,34,1827,3,3,65,25,D,60000,24,0,7560,0,0,,600,67560,46,1500,W,12,30,H,16,R,3/22/2021,,1,1,3/8/2021,1,3/8/2021,67560,1,3/14/2022,0,3/14/2022,,1,43620,29.49,42,,,CASH,,,,0,,,5,,54,3/21/2022,,,0,,0,8/1/2021 12:06,3/14/2022 19:14,,0,0,,
43,APON-030-005-0112-16,1,34,1827,3,3,66,1,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,16,R,11/2/2020,,1,1,10/19/2020,1,10/19/2020,55174,1,10/18/2021,0,10/18/2021,,1,14161,24.09,43,,,CASH,,,,0,,,5,,44,10/25/2021,,,0,,0,8/1/2021 12:06,10/18/2021 18:17,,0,0,,
44,APON-030-005-0113-09,1,34,1827,3,3,67,1,D,20000,24,0,2520,0,0,,200,22520,46,500,W,12,30,H,9,R,7/19/2021,,1,1,6/21/2021,1,6/21/2021,22520,1,6/20/2022,0,6/20/2022,,1,20000,9.83,44,,,CASH,,,,0,,,5,,49,6/20/2022,,,0,,0,8/1/2021 12:06,6/20/2022 19:17,,0,0,,
45,APON-030-005-0114-15,1,34,1827,3,3,68,1,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,15,R,3/15/2021,,1,1,2/23/2021,1,2/23/2021,55174,1,3/28/2022,0,3/28/2022,,1,35623,24.09,45,,,CASH,,,,0,,,5,,38,3/14/2022,,,0,,0,8/1/2021 12:06,3/28/2022 20:25,,0,0,,
46,APON-030-005-0121-14,1,34,1827,3,3,70,25,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,14,R,4/19/2021,,1,1,4/5/2021,1,4/5/2021,55174,1,3/7/2022,0,3/7/2022,,1,39739,24.09,46,,,CASH,,,,0,,,5,,58,4/4/2022,,,0,,0,8/1/2021 12:06,3/7/2022 21:42,,0,0,,
47,APON-030-005-0127-09,1,34,1827,3,3,71,1,D,40000,24,0,5040,0,0,,400,45040,46,1000,W,12,30,H,9,R,4/12/2021,,1,1,3/29/2021,1,3/29/2021,45040,1,1/17/2022,0,1/17/2022,,1,32440,19.66,47,,,CASH,,,,0,,,5,,33,3/28/2022,,,0,,0,8/1/2021 12:06,1/17/2022 20:05,,0,0,,
48,APON-030-006-0132-18,1,34,1828,3,3,74,25,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,18,R,8/3/2020,,1,1,7/20/2020,1,7/20/2020,55174,1,7/26/2021,0,7/26/2021,,1,49,24.09,48,,,CASH,,,,0,,,5,,39,7/26/2021,,,0,,0,8/1/2021 12:06,8/18/2021 14:28,,0,0,,
49,APON-030-006-0133-16,1,34,1828,3,3,75,25,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,16,R,8/21/2017,,1,1,8/7/2017,1,8/7/2017,,0,,1,,,1,30187,24.09,49,,,CASH,,,,0,,,5,,46,7/2/2018,,,0,,0,8/1/2021 12:06,8/4/2021 9:59,,0,0,,
50,APON-030-006-0134-11,1,34,1828,3,3,76,25,D,65000,24,0,8190,0,0,,650,73190,46,1625,W,12,30,H,11,R,2/15/2021,,1,1,2/1/2021,1,2/1/2021,73190,1,3/21/2022,0,3/21/2022,,1,43160,31.95,50,,,CASH,,,,0,,,5,,36,2/7/2022,,,0,,0,8/1/2021 12:06,3/21/2022 19:50,,0,0,,
51,APON-030-006-0137-08,1,34,1828,3,3,77,25,D,60000,24,0,7560,0,0,,600,67560,46,1500,W,12,30,H,8,R,3/1/2021,,1,1,2/15/2021,1,2/15/2021,67560,1,2/7/2022,0,2/7/2022,,1,39840,29.49,51,,,CASH,,,,0,,,5,,36,2/28/2022,,,0,,0,8/1/2021 12:06,2/7/2022 20:12,,0,0,,
52,APON-030-006-0140-15,1,34,1828,3,3,78,25,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,15,R,2/15/2016,,1,1,2/1/2016,1,2/1/2016,,0,,1,,,1,10606,24.09,52,,,CASH,,,,0,,,5,,55,12/26/2016,,,0,,0,8/1/2021 12:06,8/4/2021 9:59,,0,0,,
53,APON-030-006-0143-11,1,34,1828,3,3,79,25,D,70000,24,0,8820,0,0,,700,78820,46,1750,W,12,30,H,11,R,5/17/2021,,1,1,5/3/2021,1,5/3/2021,78820,1,6/13/2022,0,6/13/2022,,1,62650,34.41,53,,,CASH,,,,0,,,5,,40,4/25/2022,,,0,,0,8/1/2021 12:06,6/13/2022 19:50,,0,0,,
54,APON-030-006-0144-10,1,34,1828,3,3,80,88,D,50000,24,0,6300,0,0,,500,56300,46,1250,W,12,30,H,10,R,4/26/2021,,1,1,4/12/2021,1,4/12/2021,56300,1,4/18/2022,0,4/18/2022,,1,41600,24.58,54,,,CASH,,,,0,,,5,,30,4/11/2022,,,0,,0,8/1/2021 12:06,4/18/2022 17:40,,0,0,,
55,APON-030-007-0151-13,1,34,1829,3,3,81,1,D,20000,24,0,2520,0,0,,200,22520,46,500,W,12,30,H,13,R,1/12/2021,,1,1,12/29/2020,1,12/29/2020,22520,1,12/21/2021,0,12/21/2021,,1,10340,9.83,55,,,CASH,,,,0,,,5,,43,12/14/2021,,,0,,0,8/1/2021 12:06,12/22/2021 12:50,,0,0,,
56,APON-030-007-0156-06,1,34,1829,3,3,83,1,D,35000,24,0,4410,0,0,,350,39410,46,875,W,12,30,H,6,R,3/30/2021,,1,1,3/16/2021,1,3/16/2021,39410,1,3/29/2022,0,3/29/2022,,1,26180,17.2,56,,,CASH,,,,0,,,5,,44,3/1/2022,,,0,,0,8/1/2021 12:06,3/29/2022 20:25,,0,0,,
57,APON-030-007-0157-11,1,34,1829,3,3,84,1,D,30000,24,0,3780,0,0,,300,33780,46,750,W,12,30,H,11,R,1/26/2021,,1,1,1/12/2021,1,1/12/2021,33780,1,10/26/2021,0,10/26/2021,,1,16770,14.75,57,,,CASH,,,,0,,,5,,46,12/28/2021,,,0,,0,8/1/2021 12:06,10/26/2021 19:25,,0,0,,
58,APON-030-007-0158-14,1,34,1829,3,3,85,1,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,14,R,6/29/2021,,1,1,6/10/2021,1,6/10/2021,55174,1,1/11/2022,0,1/11/2022,,1,46942,24.09,58,,,CASH,,,,0,,,5,,44,6/7/2022,,,0,,0,8/1/2021 12:06,4/13/2022 14:06,,0,0,,
59,APON-030-007-0161-14,1,34,1829,3,3,87,86,D,60000,24,0,7560,0,0,,600,67560,46,1500,W,12,30,H,14,R,12/1/2020,,1,1,11/17/2020,1,11/17/2020,67560,1,10/19/2021,0,10/19/2021,,1,23100,29.49,59,,,CASH,,,,0,,,5,,51,11/2/2021,,,0,,0,8/1/2021 12:06,10/23/2021 10:16,,0,0,,
60,APON-030-007-0167-12,1,34,1829,3,3,90,1,D,45000,24,0,5670,0,0,,450,50670,46,1125,W,12,30,H,12,R,10/13/2020,,1,1,9/29/2020,1,9/29/2020,50670,1,8/17/2021,0,8/17/2021,,1,9765,22.12,60,,,CASH,,,,0,,,5,,33,9/14/2021,,,0,,0,8/1/2021 12:06,8/30/2021 16:54,,0,0,,
61,APON-030-007-0168-09,1,34,1829,3,3,91,1,D,70000,24,0,8820,0,0,,700,78820,46,1750,W,12,30,H,9,R,8/10/2021,,1,1,6/22/2021,1,6/22/2021,78820,1,5/17/2022,0,5/17/2022,,1,70000,34.41,61,,,CASH,,,,0,,,5,,49,6/28/2022,,,0,,0,8/1/2021 12:06,5/17/2022 20:22,,0,0,,
62,APON-030-007-0169-07,1,34,1829,3,3,92,1,D,10000,24,0,1260,0,0,,100,11260,46,250,W,12,30,H,7,R,3/9/2021,,1,1,2/17/2021,1,2/17/2021,11260,1,2/8/2022,0,2/8/2022,,1,6550,4.92,62,,,CASH,,,,0,,,5,,36,2/8/2022,,,0,,0,8/1/2021 12:06,2/8/2022 20:10,,0,0,,
63,APON-030-007-0170-17,1,34,1829,3,3,93,1,D,40000,24,0,5040,0,0,,400,45040,46,1000,W,12,30,H,17,R,12/8/2020,,1,1,11/24/2020,1,11/24/2020,45040,1,10/5/2021,0,10/5/2021,,1,16480,19.66,63,,,CASH,,,,0,,,5,,40,11/9/2021,,,0,,0,8/1/2021 12:06,10/21/2021 14:29,,0,0,,
64,APON-030-007-0171-12,1,34,1829,3,3,94,1,D,40000,24,0,5040,0,0,,400,45040,46,1000,W,12,30,H,12,R,10/20/2020,,1,1,10/6/2020,1,10/6/2020,45040,1,9/7/2021,0,9/7/2021,,1,9640,19.66,64,,,CASH,,,,0,,,5,,54,9/21/2021,,,0,,0,8/1/2021 12:06,9/8/2021 18:57,,0,0,,
65,APON-030-007-0173-11,1,34,1829,3,3,95,1,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,11,R,8/10/2021,,1,1,6/22/2021,1,6/22/2021,55174,1,6/7/2022,0,6/7/2022,,1,49000,24.09,65,,,CASH,,,,0,,,5,,55,6/28/2022,,,0,,0,8/1/2021 12:06,6/29/2022 12:42,,0,0,,
66,APON-030-007-0176-08,1,34,1829,3,3,97,31,D,70000,24,0,8820,0,0,,700,78820,46,1750,W,12,30,H,8,R,2/23/2021,,1,1,2/9/2021,1,2/9/2021,78820,1,2/1/2022,0,2/1/2022,,1,44380,34.41,66,,,CASH,,,,0,,,5,,36,1/25/2022,,,0,,0,8/1/2021 12:06,2/2/2022 10:14,,0,0,,
67,APON-030-009-0192-05,1,34,1831,3,3,98,7,D,10000,24,0,1260,0,0,,100,11260,46,250,W,12,30,H,5,R,11/24/2020,,1,1,11/10/2020,1,11/10/2020,11260,1,9/7/2021,0,9/7/2021,,1,3610,4.92,67,,,CASH,,,,0,,,5,,51,10/26/2021,,,0,,0,8/1/2021 12:06,11/10/2021 22:23,,0,0,,
68,APON-030-009-0193-19,1,34,1831,3,3,99,1,D,20000,24,0,2520,0,0,,200,22520,46,500,W,12,30,H,19,R,4/27/2021,,1,1,4/8/2021,1,4/8/2021,22520,1,1/11/2022,0,1/11/2022,,1,15800,9.83,68,,,CASH,,,,0,,,5,,37,3/29/2022,,,0,,0,8/1/2021 12:06,1/12/2022 18:51,,0,0,,
